Date : 2024-10-24 11:17:29
Directory : c:\Users\MHMD\Desktop\CompanyPlanner
Total : 6588 files,  1140753 codes, 115039 comments, 233649 blanks, all 1489441 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\img\icon-yes.svg                                                                                    | XML              |          3 |          0 |          1 |          4 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\img\inline-delete.svg                                                                               | XML              |          3 |          0 |          1 |          4 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\img\search.svg                                                                                      | XML              |          3 |          0 |          1 |          4 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\img\selector-icons.svg                                                                              | XML              |         34 |          0 |          1 |         35 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\img\sorting-icons.svg                                                                               | XML              |         19 |          0 |          1 |         20 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\img\tooltag-add.svg                                                                                 | XML              |          3 |          0 |          1 |          4 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\img\tooltag-arrowright.svg                                                                          | XML              |          3 |          0 |          1 |          4 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\jquery.ui.datepicker.jalali\default.htm                                                             | HTML             |        235 |          0 |          4 |        239 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\jquery.ui.datepicker.jalali\scripts\calendar.all.js                                                 | JavaScript       |        945 |        218 |        257 |      1,420 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\jquery.ui.datepicker.jalali\scripts\calendar.js                                                     | JavaScript       |        113 |          8 |         11 |        132 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\jquery.ui.datepicker.jalali\scripts\jquery-1.10.2.min.js                                            | JavaScript       |          3 |          3 |          1 |          7 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\jquery.ui.datepicker.jalali\scripts\jquery.ui.core.js                                               | JavaScript       |        248 |         32 |         41 |        321 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\jquery.ui.datepicker.jalali\scripts\jquery.ui.datepicker-cc-fa.js                                   | JavaScript       |         92 |          1 |         12 |        105 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\jquery.ui.datepicker.jalali\scripts\jquery.ui.datepicker-cc.js                                      | JavaScript       |      1,637 |        248 |        185 |      2,070 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\jquery.ui.datepicker.jalali\themes\base\images\icon-calendar.svg                                    | XML              |         21 |          1 |          1 |         23 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\jquery.ui.datepicker.jalali\themes\base\jquery-ui.css                                               | CSS              |      1,094 |         49 |         35 |      1,178 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\jquery.ui.datepicker.jalali\themes\base\jquery-ui.min.css                                           | CSS              |          1 |          5 |          1 |          7 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\jquery.ui.datepicker.jalali\themes\base\jquery.ui.theme.css                                         | CSS              |        368 |         27 |         12 |        407 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\SelectBox.js                                                                                     | JavaScript       |        111 |          5 |          1 |        117 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\SelectFilter2.js                                                                                 | JavaScript       |        235 |         28 |         24 |        287 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\actions.js                                                                                       | JavaScript       |        175 |          9 |         21 |        205 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\admin\DateTimeShortcuts.js                                                                       | JavaScript       |        317 |         65 |         27 |        409 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\admin\RelatedObjectLookups.js                                                                    | JavaScript       |        205 |         13 |         23 |        241 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\autocomplete.js                                                                                  | JavaScript       |         28 |          2 |          4 |         34 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\calendar.js                                                                                      | JavaScript       |        196 |         28 |         16 |        240 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\cancel.js                                                                                        | JavaScript       |         15 |          1 |          2 |         18 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\change_form.js                                                                                   | JavaScript       |         14 |          2 |          1 |         17 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\collapse.js                                                                                      | JavaScript       |         37 |          6 |          1 |         44 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\core.js                                                                                          | JavaScript       |        148 |         19 |         18 |        185 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\filters.js                                                                                       | JavaScript       |         20 |          6 |          5 |         31 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\inlines.js                                                                                       | JavaScript       |        272 |         61 |         27 |        360 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\jquery.init.js                                                                                   | JavaScript       |          2 |          6 |          1 |          9 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\nav_sidebar.js                                                                                   | JavaScript       |         73 |          1 |          6 |         80 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\popup_response.js                                                                                | JavaScript       |         38 |          2 |          4 |         44 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\prepopulate.js                                                                                   | JavaScript       |         29 |         10 |          5 |         44 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\prepopulate_init.js                                                                              | JavaScript       |         15 |          0 |          1 |         16 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\theme.js                                                                                         | JavaScript       |         46 |          4 |          7 |         57 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\urlify.js                                                                                        | JavaScript       |        159 |          5 |          6 |        170 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\jquery\jquery.js                                                                          | JavaScript       |      6,767 |      1,887 |      2,063 |     10,717 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\jquery\jquery.min.js                                                                      | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\LICENSE.md                                                                        | Markdown         |         17 |          0 |          5 |         22 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\af.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\ar.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\az.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\bg.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\bn.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\bs.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\ca.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\cs.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\da.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\de.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\dsb.js                                                                       | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\el.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\en.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\es.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\et.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\eu.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\fa.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\fi.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\fr.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\gl.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\he.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\hi.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\hr.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\hsb.js                                                                       | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\hu.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\hy.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\id.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\is.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\it.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\ja.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\ka.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\km.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\ko.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\lt.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\lv.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\mk.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\ms.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\nb.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\ne.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\nl.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\pl.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\ps.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\pt-BR.js                                                                     | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\pt.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\ro.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\ru.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\sk.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\sl.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\sq.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\sr-Cyrl.js                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\sr.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\sv.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\th.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\tk.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\tr.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\uk.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\vi.js                                                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\zh-CN.js                                                                     | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\i18n\zh-TW.js                                                                     | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\select2.full.js                                                                   | JavaScript       |      5,102 |        384 |      1,335 |      6,821 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\select2\select2.full.min.js                                                               | JavaScript       |          1 |          1 |          0 |          2 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\xregexp\xregexp.js                                                                        | JavaScript       |      3,817 |      1,303 |      1,007 |      6,127 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\js\vendor\xregexp\xregexp.min.js                                                                    | JavaScript       |          4 |         13 |          1 |         18 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\admin\main.js                                                                                             | JavaScript       |         11 |          0 |          1 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\jazzmin\css\main.css                                                                                      | CSS              |        751 |         28 |        149 |        928 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\jazzmin\img\calendar-icons.svg                                                                            | XML              |         14 |          0 |          1 |         15 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\jazzmin\img\default-log.svg                                                                               | XML              |         22 |          0 |          1 |         23 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\jazzmin\img\icon-calendar.svg                                                                             | XML              |          9 |          0 |          1 |         10 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\jazzmin\img\icon-changelink.svg                                                                           | XML              |          3 |          0 |          1 |          4 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\jazzmin\img\selector-icons.svg                                                                            | XML              |         34 |          0 |          1 |         35 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\jazzmin\js\change_form.js                                                                                 | JavaScript       |        104 |         18 |         30 |        152 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\jazzmin\js\change_list.js                                                                                 | JavaScript       |         50 |          6 |          9 |         65 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\jazzmin\js\main.js                                                                                        | JavaScript       |         46 |          9 |         13 |         68 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\jazzmin\js\related-modal.js                                                                               | JavaScript       |        123 |         27 |         39 |        189 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\jazzmin\js\ui-builder.js                                                                                  | JavaScript       |        269 |         15 |         60 |        344 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\jazzmin\plugins\bootstrap-show-modal\bootstrap-show-modal.min.js                                          | JavaScript       |          1 |          0 |          1 |          2 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\css\bootstrap-theme.min.css                                                                | CSS              |          1 |          5 |          0 |          6 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\css\bootstrap-tweaks.css                                                                   | CSS              |        177 |         15 |         46 |        238 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\css\bootstrap.min.css                                                                      | CSS              |          1 |          5 |          0 |          6 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\css\default.css                                                                            | CSS              |         62 |          3 |         18 |         83 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\css\font-awesome-4.0.3.css                                                                 | CSS              |      1,329 |          9 |          1 |      1,339 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\css\prettify.css                                                                           | CSS              |         27 |          1 |          2 |         30 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\docs\css\base.css                                                                          | CSS              |        291 |          4 |         65 |        360 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\docs\css\highlight.css                                                                     | CSS              |        101 |          6 |         19 |        126 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\docs\css\jquery.json-view.min.css                                                          | CSS              |         11 |          0 |          0 |         11 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\docs\js\api.js                                                                             | JavaScript       |        259 |         20 |         37 |        316 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\docs\js\highlight.pack.js                                                                  | JavaScript       |          2 |          0 |          0 |          2 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\docs\js\jquery.json-view.min.js                                                            | JavaScript       |          1 |          6 |          0 |          7 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\fonts\fontawesome-webfont.svg                                                              | XML              |        414 |          0 |          1 |        415 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\fonts\glyphicons-halflings-regular.svg                                                     | XML              |        288 |          0 |          1 |        289 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\js\ajax-form.js                                                                            | JavaScript       |         95 |         16 |         23 |        134 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\js\bootstrap.min.js                                                                        | JavaScript       |          1 |          5 |          0 |          6 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\js\coreapi-0.1.1.js                                                                        | JavaScript       |      1,471 |        223 |        349 |      2,043 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\js\csrf.js                                                                                 | JavaScript       |         35 |          9 |         10 |         54 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\js\default.js                                                                              | JavaScript       |         32 |          6 |         10 |         48 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\js\jquery-3.7.1.min.js                                                                     | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\js\load-ajax-form.js                                                                       | JavaScript       |          3 |          0 |          1 |          4 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\rest_framework\js\prettify-min.js                                                                         | JavaScript       |         28 |          0 |          1 |         29 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\adminlte\css\adminlte.min.css                                                                      | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\adminlte\js\adminlte.min.js                                                                        | JavaScript       |          1 |          6 |          0 |          7 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootstrap\js\bootstrap.min.js                                                                      | JavaScript       |          1 |          6 |          0 |          7 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\cerulean\bootstrap.min.css                                                              | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\cosmo\bootstrap.min.css                                                                 | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\cyborg\bootstrap.min.css                                                                | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\darkly\bootstrap.min.css                                                                | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\default\bootstrap.min.css                                                               | CSS              |          1 |          5 |          1 |          7 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\flatly\bootstrap.min.css                                                                | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\journal\bootstrap.min.css                                                               | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\litera\bootstrap.min.css                                                                | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\lumen\bootstrap.min.css                                                                 | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\lux\bootstrap.min.css                                                                   | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\materia\bootstrap.min.css                                                               | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\minty\bootstrap.min.css                                                                 | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\pulse\bootstrap.min.css                                                                 | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\sandstone\bootstrap.min.css                                                             | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\simplex\bootstrap.min.css                                                               | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\sketchy\bootstrap.min.css                                                               | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\slate\bootstrap.min.css                                                                 | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\solar\bootstrap.min.css                                                                 | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\spacelab\bootstrap.min.css                                                              | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\superhero\bootstrap.min.css                                                             | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\united\bootstrap.min.css                                                                | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\bootswatch\yeti\bootstrap.min.css                                                                  | CSS              |          2 |         10 |          0 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\fontawesome-free\css\all.min.css                                                                   | CSS              |          1 |          4 |          0 |          5 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\fontawesome-free\webfonts\fa-brands-400.svg                                                        | XML              |      3,717 |          0 |          1 |      3,718 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\fontawesome-free\webfonts\fa-regular-400.svg                                                       | XML              |        801 |          0 |          1 |        802 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\fontawesome-free\webfonts\fa-solid-900.svg                                                         | XML              |      5,034 |          0 |          1 |      5,035 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\select2\css\select2.min.css                                                                        | CSS              |          1 |          0 |          1 |          2 |
| c:\Users\MHMD\Desktop\CompanyPlanner\staticfiles\vendor\select2\js\select2.min.js                                                                          | JavaScript       |          1 |          1 |          0 |          2 |
| c:\Users\MHMD\Desktop\CompanyPlanner\task\__init__.py                                                                                                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\MHMD\Desktop\CompanyPlanner\task\admin.py                                                                                                         | Python           |         12 |          0 |          3 |         15 |
