Date : 2024-10-24 11:17:29
Directory : c:\Users\MHMD\Desktop\CompanyPlanner
Total : 6588 files,  1140753 codes, 115039 comments, 233649 blanks, all 1489441 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| .history\coplanner                                                                                                                                         |        205 |     36,565 |     12,439 |     11,528 |     60,532 |
| .history\dashboard                                                                                                                                         |         28 |        813 |         23 |        127 |        963 |
| .history\management                                                                                                                                        |          4 |         18 |          0 |          7 |         25 |
| .history\management\commands                                                                                                                               |          4 |         18 |          0 |          7 |         25 |
| .history\meetings                                                                                                                                          |         80 |      1,265 |        118 |        317 |      1,700 |
| .history\projects                                                                                                                                          |        185 |     11,757 |      2,564 |      2,529 |     16,850 |
| .history\task                                                                                                                                              |        116 |      2,295 |        183 |        545 |      3,023 |
| .history\telegram_bot                                                                                                                                      |         65 |      2,343 |        205 |        738 |      3,286 |
| .history\telegram_bot (Files)                                                                                                                              |         18 |        744 |         50 |        227 |      1,021 |
| .history\telegram_bot\management                                                                                                                           |         47 |      1,599 |        155 |        511 |      2,265 |
| .history\telegram_bot\management\commands                                                                                                                  |         47 |      1,599 |        155 |        511 |      2,265 |
| .history\templates                                                                                                                                         |         13 |        286 |        117 |        143 |        546 |
| .history\ticket                                                                                                                                            |         36 |        900 |         55 |        253 |      1,208 |
| .history\timesheet                                                                                                                                         |         96 |      3,738 |        261 |      1,225 |      5,224 |
| .history\users                                                                                                                                             |         13 |        305 |          7 |         84 |        396 |
| .history\workreport                                                                                                                                        |         22 |        386 |          1 |         81 |        468 |
| account                                                                                                                                                    |         27 |        606 |         68 |        201 |        875 |
| account (Files)                                                                                                                                            |         11 |        328 |         53 |        109 |        490 |
| account\migrations                                                                                                                                         |         16 |        278 |         15 |         92 |        385 |
| accounting                                                                                                                                                 |         18 |        270 |         22 |        100 |        392 |
| accounting (Files)                                                                                                                                         |          8 |        133 |         13 |         44 |        190 |
| accounting\migrations                                                                                                                                      |         10 |        137 |          9 |         56 |        202 |
| coplan                                                                                                                                                     |      5,158 |  1,025,363 |     92,831 |    205,402 |  1,323,596 |
| coplan (Files)                                                                                                                                             |          1 |          5 |          0 |          1 |          6 |
| coplan\Include                                                                                                                                             |          1 |         78 |         51 |         36 |        165 |
| coplan\Include\site                                                                                                                                        |          1 |         78 |         51 |         36 |        165 |
| coplan\Include\site\python3.11                                                                                                                             |          1 |         78 |         51 |         36 |        165 |
| coplan\Include\site\python3.11\greenlet                                                                                                                    |          1 |         78 |         51 |         36 |        165 |
| coplan\Lib                                                                                                                                                 |      5,151 |  1,024,457 |     92,308 |    205,190 |  1,321,955 |
| coplan\Lib\site-packages                                                                                                                                   |      5,151 |  1,024,457 |     92,308 |    205,190 |  1,321,955 |
| coplan\Lib\site-packages (Files)                                                                                                                           |         10 |      6,619 |        512 |      1,511 |      8,642 |
| coplan\Lib\site-packages\MarkupSafe-2.1.5.dist-info                                                                                                        |          1 |         23 |          0 |          6 |         29 |
| coplan\Lib\site-packages\PIL                                                                                                                               |        102 |     24,363 |      3,538 |      5,677 |     33,578 |
| coplan\Lib\site-packages\PyJWT-2.8.0.dist-info                                                                                                             |          1 |          5 |          0 |          3 |          8 |
| coplan\Lib\site-packages\_distutils_hack                                                                                                                   |          2 |        154 |         18 |         53 |        225 |
| coplan\Lib\site-packages\_yaml                                                                                                                             |          1 |         18 |         12 |          4 |         34 |
| coplan\Lib\site-packages\adodbapi                                                                                                                          |         20 |      5,346 |        517 |        867 |      6,730 |
| coplan\Lib\site-packages\adodbapi (Files)                                                                                                                  |          9 |      2,587 |        248 |        450 |      3,285 |
| coplan\Lib\site-packages\adodbapi\examples                                                                                                                 |          4 |        127 |         11 |         40 |        178 |
| coplan\Lib\site-packages\adodbapi\test                                                                                                                     |          7 |      2,632 |        258 |        377 |      3,267 |
| coplan\Lib\site-packages\amqp                                                                                                                              |         14 |      3,974 |        341 |      1,172 |      5,487 |
| coplan\Lib\site-packages\anyio                                                                                                                             |         37 |      7,831 |        236 |      2,010 |     10,077 |
| coplan\Lib\site-packages\anyio (Files)                                                                                                                     |          6 |        984 |         25 |        241 |      1,250 |
| coplan\Lib\site-packages\anyio\_backends                                                                                                                   |          3 |      2,922 |        115 |        654 |      3,691 |
| coplan\Lib\site-packages\anyio\_core                                                                                                                       |         13 |      2,122 |         38 |        641 |      2,801 |
| coplan\Lib\site-packages\anyio\abc                                                                                                                         |          8 |        883 |         17 |        224 |      1,124 |
| coplan\Lib\site-packages\anyio\streams                                                                                                                     |          7 |        920 |         41 |        250 |      1,211 |
| coplan\Lib\site-packages\asgiref                                                                                                                           |         10 |      1,312 |        152 |        273 |      1,737 |
| coplan\Lib\site-packages\attr                                                                                                                              |         22 |      4,784 |        269 |      1,082 |      6,135 |
| coplan\Lib\site-packages\attrs                                                                                                                             |          7 |        124 |         10 |         20 |        154 |
| coplan\Lib\site-packages\billiard                                                                                                                          |         28 |      7,038 |        746 |      1,724 |      9,508 |
| coplan\Lib\site-packages\billiard (Files)                                                                                                                  |         26 |      6,912 |        677 |      1,659 |      9,248 |
| coplan\Lib\site-packages\billiard\dummy                                                                                                                    |          2 |        126 |         69 |         65 |        260 |
| coplan\Lib\site-packages\blinker                                                                                                                           |          3 |        572 |         10 |        166 |        748 |
| coplan\Lib\site-packages\celery                                                                                                                            |        158 |     31,031 |      2,082 |      7,410 |     40,523 |
| coplan\Lib\site-packages\celery (Files)                                                                                                                    |         13 |      5,902 |        482 |      1,528 |      7,912 |
| coplan\Lib\site-packages\celery\app                                                                                                                        |         16 |      5,021 |        359 |      1,076 |      6,456 |
| coplan\Lib\site-packages\celery\apps                                                                                                                       |          4 |        863 |         25 |        171 |      1,059 |
| coplan\Lib\site-packages\celery\backends                                                                                                                   |         22 |      4,357 |        333 |      1,029 |      5,719 |
| coplan\Lib\site-packages\celery\backends (Files)                                                                                                           |         19 |      4,030 |        319 |        948 |      5,297 |
| coplan\Lib\site-packages\celery\backends\database                                                                                                          |          3 |        327 |         14 |         81 |        422 |
| coplan\Lib\site-packages\celery\bin                                                                                                                        |         18 |      2,489 |         32 |        498 |      3,019 |
| coplan\Lib\site-packages\celery\concurrency                                                                                                                |          8 |      1,632 |        202 |        332 |      2,166 |
| coplan\Lib\site-packages\celery\contrib                                                                                                                    |         14 |      1,391 |         68 |        381 |      1,840 |
| coplan\Lib\site-packages\celery\contrib (Files)                                                                                                            |          6 |        800 |         41 |        254 |      1,095 |
| coplan\Lib\site-packages\celery\contrib\django                                                                                                             |          2 |         14 |          0 |          9 |         23 |
| coplan\Lib\site-packages\celery\contrib\testing                                                                                                            |          6 |        577 |         27 |        118 |        722 |
| coplan\Lib\site-packages\celery\events                                                                                                                     |          8 |      1,543 |         63 |        322 |      1,928 |
| coplan\Lib\site-packages\celery\fixups                                                                                                                     |          2 |        155 |         16 |         48 |        219 |
| coplan\Lib\site-packages\celery\loaders                                                                                                                    |          4 |        252 |         24 |         74 |        350 |
| coplan\Lib\site-packages\celery\security                                                                                                                   |          5 |        264 |          8 |         84 |        356 |
| coplan\Lib\site-packages\celery\utils                                                                                                                      |         23 |      3,778 |        288 |      1,072 |      5,138 |
| coplan\Lib\site-packages\celery\utils (Files)                                                                                                              |         20 |      3,505 |        261 |        997 |      4,763 |
| coplan\Lib\site-packages\celery\utils\dispatch                                                                                                             |          2 |        265 |         25 |         70 |        360 |
| coplan\Lib\site-packages\celery\utils\static                                                                                                               |          1 |          8 |          2 |          5 |         15 |
| coplan\Lib\site-packages\celery\worker                                                                                                                     |         21 |      3,384 |        182 |        795 |      4,361 |
| coplan\Lib\site-packages\celery\worker (Files)                                                                                                             |         11 |      2,359 |        132 |        555 |      3,046 |
| coplan\Lib\site-packages\celery\worker\consumer                                                                                                            |         10 |      1,025 |         50 |        240 |      1,315 |
| coplan\Lib\site-packages\certifi                                                                                                                           |          3 |         68 |         37 |         28 |        133 |
| coplan\Lib\site-packages\cffi                                                                                                                              |         22 |      7,545 |      1,041 |        966 |      9,552 |
| coplan\Lib\site-packages\channels                                                                                                                          |         24 |      1,712 |        146 |        347 |      2,205 |
| coplan\Lib\site-packages\channels (Files)                                                                                                                  |         12 |      1,031 |        118 |        212 |      1,361 |
| coplan\Lib\site-packages\channels\generic                                                                                                                  |          3 |        324 |          0 |         60 |        384 |
| coplan\Lib\site-packages\channels\management                                                                                                               |          3 |         35 |          3 |         10 |         48 |
| coplan\Lib\site-packages\channels\management (Files)                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| coplan\Lib\site-packages\channels\management\commands                                                                                                      |          2 |         35 |          3 |          9 |         47 |
| coplan\Lib\site-packages\channels\security                                                                                                                 |          2 |        115 |         15 |         25 |        155 |
| coplan\Lib\site-packages\channels\testing                                                                                                                  |          4 |        207 |         10 |         40 |        257 |
| coplan\Lib\site-packages\channels_redis                                                                                                                    |          4 |        849 |        144 |        164 |      1,157 |
| coplan\Lib\site-packages\charset_normalizer                                                                                                                |         12 |      4,226 |         42 |        548 |      4,816 |
| coplan\Lib\site-packages\charset_normalizer (Files)                                                                                                        |         10 |      3,955 |         42 |        515 |      4,512 |
| coplan\Lib\site-packages\charset_normalizer\cli                                                                                                            |          2 |        271 |          0 |         33 |        304 |
| coplan\Lib\site-packages\click                                                                                                                             |         16 |      7,683 |        518 |      1,939 |     10,140 |
| coplan\Lib\site-packages\click-8.1.7.dist-info                                                                                                             |          1 |         23 |          0 |          6 |         29 |
| coplan\Lib\site-packages\click_didyoumean                                                                                                                  |          1 |         55 |          0 |         12 |         67 |
| coplan\Lib\site-packages\click_plugins                                                                                                                     |          2 |        109 |          3 |         43 |        155 |
| coplan\Lib\site-packages\click_repl                                                                                                                        |          5 |        520 |         30 |        159 |        709 |
| coplan\Lib\site-packages\colorama                                                                                                                          |         13 |      1,288 |        106 |        298 |      1,692 |
| coplan\Lib\site-packages\colorama (Files)                                                                                                                  |          6 |        662 |         79 |        147 |        888 |
| coplan\Lib\site-packages\colorama\tests                                                                                                                    |          7 |        626 |         27 |        151 |        804 |
| coplan\Lib\site-packages\corsheaders                                                                                                                       |          7 |        377 |         11 |         85 |        473 |
| coplan\Lib\site-packages\cron_descriptor                                                                                                                   |          9 |        772 |        228 |        203 |      1,203 |
| coplan\Lib\site-packages\dateutil                                                                                                                          |         18 |      5,727 |        506 |      1,416 |      7,649 |
| coplan\Lib\site-packages\dateutil (Files)                                                                                                                  |          8 |      2,126 |        110 |        341 |      2,577 |
| coplan\Lib\site-packages\dateutil\parser                                                                                                                   |          3 |      1,510 |        174 |        409 |      2,093 |
| coplan\Lib\site-packages\dateutil\tz                                                                                                                       |          5 |      1,916 |        211 |        608 |      2,735 |
| coplan\Lib\site-packages\dateutil\zoneinfo                                                                                                                 |          2 |        175 |         11 |         58 |        244 |
| coplan\Lib\site-packages\dj_database_url                                                                                                                   |          1 |        157 |         17 |         30 |        204 |
| coplan\Lib\site-packages\django                                                                                                                            |      1,168 |    147,223 |     14,425 |     27,749 |    189,397 |
| coplan\Lib\site-packages\django (Files)                                                                                                                    |          3 |        174 |          9 |         44 |        227 |
| coplan\Lib\site-packages\django\apps                                                                                                                       |          3 |        489 |        111 |        118 |        718 |
| coplan\Lib\site-packages\django\conf                                                                                                                       |        172 |      3,113 |      1,051 |        458 |      4,622 |
| coplan\Lib\site-packages\django\conf (Files)                                                                                                               |          2 |        593 |        273 |        173 |      1,039 |
| coplan\Lib\site-packages\django\conf\locale                                                                                                                |        167 |      2,458 |        776 |        268 |      3,502 |
| coplan\Lib\site-packages\django\conf\locale (Files)                                                                                                        |          1 |        627 |          0 |          3 |        630 |
| coplan\Lib\site-packages\django\conf\locale\ar                                                                                                             |          2 |          7 |         13 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\ar_DZ                                                                                                          |          2 |         22 |          6 |          3 |         31 |
| coplan\Lib\site-packages\django\conf\locale\az                                                                                                             |          2 |         23 |          6 |          3 |         32 |
| coplan\Lib\site-packages\django\conf\locale\bg                                                                                                             |          2 |          6 |         14 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\bn                                                                                                             |          2 |         22 |          9 |          3 |         34 |
| coplan\Lib\site-packages\django\conf\locale\bs                                                                                                             |          2 |          8 |         12 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\ca                                                                                                             |          2 |         23 |          6 |          3 |         32 |
| coplan\Lib\site-packages\django\conf\locale\ckb                                                                                                            |          2 |         10 |         10 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\cs                                                                                                             |          2 |         33 |          9 |          3 |         45 |
| coplan\Lib\site-packages\django\conf\locale\cy                                                                                                             |          2 |         26 |          6 |          3 |         35 |
| coplan\Lib\site-packages\django\conf\locale\da                                                                                                             |          2 |         19 |          6 |          3 |         28 |
| coplan\Lib\site-packages\django\conf\locale\de                                                                                                             |          2 |         20 |          8 |          3 |         31 |
| coplan\Lib\site-packages\django\conf\locale\de_CH                                                                                                          |          2 |         20 |         13 |          4 |         37 |
| coplan\Lib\site-packages\django\conf\locale\el                                                                                                             |          2 |         27 |          6 |          3 |         36 |
| coplan\Lib\site-packages\django\conf\locale\en                                                                                                             |          2 |         40 |         22 |          5 |         67 |
| coplan\Lib\site-packages\django\conf\locale\en_AU                                                                                                          |          2 |         26 |         14 |          3 |         43 |
| coplan\Lib\site-packages\django\conf\locale\en_GB                                                                                                          |          2 |         26 |         14 |          3 |         43 |
| coplan\Lib\site-packages\django\conf\locale\en_IE                                                                                                          |          2 |         30 |          6 |          3 |         39 |
| coplan\Lib\site-packages\django\conf\locale\eo                                                                                                             |          2 |         37 |          6 |          3 |         46 |
| coplan\Lib\site-packages\django\conf\locale\es                                                                                                             |          2 |         23 |          6 |          3 |         32 |
| coplan\Lib\site-packages\django\conf\locale\es_AR                                                                                                          |          2 |         23 |          6 |          3 |         32 |
| coplan\Lib\site-packages\django\conf\locale\es_CO                                                                                                          |          2 |         24 |          2 |          2 |         28 |
| coplan\Lib\site-packages\django\conf\locale\es_MX                                                                                                          |          2 |         24 |          2 |          2 |         28 |
| coplan\Lib\site-packages\django\conf\locale\es_NI                                                                                                          |          2 |         24 |          2 |          2 |         28 |
| coplan\Lib\site-packages\django\conf\locale\es_PR                                                                                                          |          2 |         23 |          2 |          4 |         29 |
| coplan\Lib\site-packages\django\conf\locale\et                                                                                                             |          2 |          6 |         14 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\eu                                                                                                             |          2 |         11 |          9 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\fa                                                                                                             |          2 |         10 |         10 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\fi                                                                                                             |          2 |         28 |          6 |          4 |         38 |
| coplan\Lib\site-packages\django\conf\locale\fr                                                                                                             |          2 |         20 |          6 |          3 |         29 |
| coplan\Lib\site-packages\django\conf\locale\fr_BE                                                                                                          |          2 |         25 |          6 |          3 |         34 |
| coplan\Lib\site-packages\django\conf\locale\fr_CA                                                                                                          |          2 |         23 |          6 |          3 |         32 |
| coplan\Lib\site-packages\django\conf\locale\fr_CH                                                                                                          |          2 |         25 |          6 |          3 |         34 |
| coplan\Lib\site-packages\django\conf\locale\fy                                                                                                             |          2 |          0 |         20 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\ga                                                                                                             |          2 |          6 |         14 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\gd                                                                                                             |          2 |          9 |         11 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\gl                                                                                                             |          2 |         10 |         10 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\he                                                                                                             |          2 |          9 |         11 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\hi                                                                                                             |          2 |          6 |         14 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\hr                                                                                                             |          2 |         35 |          7 |          4 |         46 |
| coplan\Lib\site-packages\django\conf\locale\hu                                                                                                             |          2 |         23 |          6 |          3 |         32 |
| coplan\Lib\site-packages\django\conf\locale\id                                                                                                             |          2 |         39 |          6 |          6 |         51 |
| coplan\Lib\site-packages\django\conf\locale\ig                                                                                                             |          2 |         25 |          6 |          3 |         34 |
| coplan\Lib\site-packages\django\conf\locale\is                                                                                                             |          2 |          8 |         12 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\it                                                                                                             |          2 |         36 |          6 |          3 |         45 |
| coplan\Lib\site-packages\django\conf\locale\ja                                                                                                             |          2 |         10 |         10 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\ka                                                                                                             |          2 |         35 |         12 |          3 |         50 |
| coplan\Lib\site-packages\django\conf\locale\km                                                                                                             |          2 |          8 |         12 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\kn                                                                                                             |          2 |          4 |         16 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\ko                                                                                                             |          2 |         36 |         16 |          4 |         56 |
| coplan\Lib\site-packages\django\conf\locale\ky                                                                                                             |          2 |         25 |          6 |          3 |         34 |
| coplan\Lib\site-packages\django\conf\locale\lt                                                                                                             |          2 |         38 |          6 |          3 |         47 |
| coplan\Lib\site-packages\django\conf\locale\lv                                                                                                             |          2 |         38 |          7 |          3 |         48 |
| coplan\Lib\site-packages\django\conf\locale\mk                                                                                                             |          2 |         31 |          6 |          5 |         42 |
| coplan\Lib\site-packages\django\conf\locale\ml                                                                                                             |          2 |         27 |         15 |          3 |         45 |
| coplan\Lib\site-packages\django\conf\locale\mn                                                                                                             |          2 |          3 |         17 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\ms                                                                                                             |          2 |         31 |          6 |          3 |         40 |
| coplan\Lib\site-packages\django\conf\locale\nb                                                                                                             |          2 |         27 |         13 |          3 |         43 |
| coplan\Lib\site-packages\django\conf\locale\nl                                                                                                             |          2 |         58 |         33 |          3 |         94 |
| coplan\Lib\site-packages\django\conf\locale\nn                                                                                                             |          2 |         27 |         13 |          3 |         43 |
| coplan\Lib\site-packages\django\conf\locale\pl                                                                                                             |          2 |         21 |          8 |          3 |         32 |
| coplan\Lib\site-packages\django\conf\locale\pt                                                                                                             |          2 |         27 |         11 |          3 |         41 |
| coplan\Lib\site-packages\django\conf\locale\pt_BR                                                                                                          |          2 |         23 |         10 |          3 |         36 |
| coplan\Lib\site-packages\django\conf\locale\ro                                                                                                             |          2 |         28 |          6 |          3 |         37 |
| coplan\Lib\site-packages\django\conf\locale\ru                                                                                                             |          2 |         23 |          6 |          3 |         32 |
| coplan\Lib\site-packages\django\conf\locale\sk                                                                                                             |          2 |         21 |          8 |          3 |         32 |
| coplan\Lib\site-packages\django\conf\locale\sl                                                                                                             |          2 |         35 |          6 |          5 |         46 |
| coplan\Lib\site-packages\django\conf\locale\sq                                                                                                             |          2 |          7 |         13 |          3 |         23 |
| coplan\Lib\site-packages\django\conf\locale\sr                                                                                                             |          2 |         31 |         12 |          3 |         46 |
